name,type,group,province,city,address,latitude,longitude,beds,practiceNumber,switchhouse,phone,email,ideal_clinic_score,source
Seeisoville Clinic,clinic,Public,FS,,HILL STREET KROONSTAD,-27.6539,27.2105,,,,,NONE,81,ndoh_detailed
Sehularo Tau Clinic,clinic,Public,FS,,666 emily hobhouse new stands,-30.2591,25.70734,,,,,NONE,62,ndoh_detailed
Sekamotho Mota Clinic,clinic,Public,FS,,thibella village gothibella stadium Witsieshoek,-28.6488,28.85232,,,,,None,58,ndoh_detailed
Senekal Farms Clinic,clinic,Public,FS,,,-28.325,27.61,,,,,,,who_mfl
Sizabantu Clinic,clinic,Public,FS,,2263 PHIRIDONA HEILBRON PHIRITONA,-27.2663,27.9776,,,,,NONE,66,ndoh_detailed
Soetwater Clinic,clinic,Public,FS,,"40 Bloem Street, Ficksburg",-28.87487,27.87588,,,,,sphiwegerald@gmail.com,79,ndoh_detailed
Tambo (Senekal) Clinic,clinic,Public,FS,,914 zone 2 meqheleng,-28.328,27.605,25,,,,None,78,ndoh_detailed
Tambo Clinic,clinic,Public,FS,,"12605 Leratsong, Virginia",-28.1498,26.8873,,,,,NONE,77,ndoh_detailed
Tebang Clinic,clinic,Public,FS,,Tebang Village,-28.52605,28.87238,,,,,None,76,ndoh_detailed
Thaba Bosiu Clinic,clinic,Public,FS,,thabang village,-28.59823,28.88368,,,,,None,59,ndoh_detailed
Thaba Nchu Clinic,clinic,Public,FS,Bloemfontein,375 Van Riebeck Street 9783,-29.2187,26.8481,,,,,None,78,ndoh_detailed
Thaba Phatswa Clinic,clinic,Public,FS,,Hobhouse Road Tweespruit,-29.31282,27.12485,,,,,rvdwatt@vodamail.co.za,81,ndoh_detailed
Thabang Clinic,clinic,Public,FS,,thabang village turfontein,-28.60945,28.83058,,,,,None,65,ndoh_detailed
Thabang Society Clinic,clinic,Public,FS,,3793 VUKA LOCATION TUMAHOLE,-26.9237,27.477097,,,,,None,76,ndoh_detailed
Thabong Clinic,clinic,Public,FS,,HOSPITA ROAD OLRUS ODENDAALSRUS,-27.964,26.7916,,,,,vdmerwe@fshealth.org.za,74,ndoh_detailed
Thambo Container Clinic,clinic,Public,FS,,,-28.4,27.5,,,,,,,who_mfl
Thembalethu Clinic,clinic,Public,FS,,3 douglas street smithfield,-30.214,26.53563,,,,,coertzes@fshealth.gov.za,91,ndoh_detailed
Thusa Bophelo Clinic,clinic,Public,FS,,1462 ezenzelem warden warden,-27.83635,28.97803,,,,,None,82,ndoh_detailed
Thusanong (Kroonstad) Clinic,clinic,Public,FS,,3665 Constantia Kroonstad,-27.6488,27.1902,,,,,NONE,70,ndoh_detailed
Thusanong (Parys) Clinic,clinic,Public,FS,,3793 VUKA LOCATION TUMAHOLE TUMAHOLE,-26.9198,27.4857,,,,,NONE,83,ndoh_detailed
Thusanong (Sasolburg) Clinic,clinic,Public,FS,,ME M5910 CHRIS HANI ST zamdela,-26.8451,27.8646,,,,,NONE,75,ndoh_detailed
Thusong Clinic,clinic,Public,FS,,Moshoeshoe Road Rocklands,-29.1847,26.2346,300,,,,None,83,ndoh_detailed
Tiger River Clinic,clinic,Public,FS,,Tiger River,-29.1205,26.7894,,,,,None,78,ndoh_detailed
Tina Moloi Clinic,clinic,Public,FS,,MOEDING VILLAGE WITSIESHOEK,-28.60973,28.85632,,,,,NONE,80,ndoh_detailed
Tsatsi SPS Clinic,clinic,Public,FS,,"3999 Tayler Park, Zamdela",-26.8444,27.8557,,,,,NONE,62,ndoh_detailed
Tseki Clinic,clinic,Public,FS,,PRIVATE BAG X824 WITSIESHOEK WITSIESHOEK,-28.58585,28.77227,,,,,NONE,82,ndoh_detailed
Tshepong (Kroonstad) Clinic,clinic,Public,FS,,2853 Gelukwaarts Road Gelukwaarts,-27.63885,27.17403,,,,,NONE,57,ndoh_detailed
Tshepong (Verkeerdevlei) Clinic,clinic,Public,FS,,23 Tshepong location BanyaneDrive Tshepong,-28.8401,26.7621,,,,,NONE,34,ndoh_detailed
Tshepong (Welkom) Clinic,clinic,Public,FS,,"26128 Ndaki Street, Thabong, Welkom",-27.9577,26.8361,,,,,None,72,ndoh_detailed
Tshiame B Clinic,clinic,Public,FS,,,-28.32433,28.99467,,,,,None,75,ndoh_detailed
Tshirela Clinic,clinic,Public,FS,,99 School Street Phuthuditjaba,-28.6226,28.80455,,,,,NONE,75,ndoh_detailed
Tshwaraganang (Dealesville) Clinic,clinic,Public,FS,,malebogo street,-28.6579,25.77142,,,,,None,,ndoh_detailed
Tshwaraganang (Hertzogville) Clinic,clinic,Public,FS,,malebogo street hertzogville,-28.1231,25.4998,,,,,None,73,ndoh_detailed
Tswelelang 1 Clinic,clinic,Public,FS,,,-27.22,25.9848,,,,,,,who_mfl
Tumahole Clinic,clinic,Public,FS,,9811 brown jumahole jumahole,-26.9163,27.4678,,,,,NONE,58,ndoh_detailed
Tweefontein Clinic,clinic,Public,FS,,Tweefontein Selosesha,-29.3728,26.9314,,,,,None,63,ndoh_detailed
Tweespruit Clinic,clinic,Public,FS,,Pepper Street 8 Tweespruit,-29.18754,27.02543,,,,,None,62,ndoh_detailed
Ulco Satellite Clinic,clinic,Public,FS,,,-28.3291,24.212,,,,,,,who_mfl
Universitas,clinic,,FS,Bloemfontein,1 Logeman Street,,,,,,,,,dsfsi_vacc
Vaal Rock Clinic,clinic,Public,FS,,1558 Segalo Street Brandfort,-28.6815,26.4613,,,,,NONE,66,ndoh_detailed
Vanstadensrus Clinic,clinic,Public,FS,,Haupt Street Van Stadensnis,-29.9852,27.0136,,,,,None,68,ndoh_detailed
Villiers Clinic,clinic,Public,FS,Villiers,24 ERMMET STR LILLERS villiers,-27.0286,28.5969,,,,+27 58 821 0390,NONE,55,ndoh_detailed
Virginia Clinic,clinic,Public,FS,"Virginia, Matjhabeng Local Municipality, Free State,",6 union street virginia,-28.1076,26.8641,140,,,,None,75,ndoh_detailed
Vivian Mangwane Clinic,clinic,Public,FS,,16114 lovedale makeleketta,-26.921074,27.496379,,,,,None,72,ndoh_detailed
Vrede Clinic,clinic,Public,FS,"Vrede, Free State","75 Kunhn Street, Vrede",-27.43436,29.15528,81,,,,NONE,88,ndoh_detailed
W-section Hall,clinic,,FS,Bloemfontein,,,,,,,,,,dsfsi_vacc
Welkom Clinic,clinic,Public,FS,Matjhabeng Local Municipality,4 arrat road doorn,-27.9855,26.7414,,,,+27 57 916 5555,NONE,53,ndoh_detailed
Westdene Clinic,clinic,Public,FS,Bloemfontein,Haarburg Cresent Westedene,-29.1028,26.2076,,,,,None,65,ndoh_detailed
Wilgehof Clinic,clinic,Public,FS,,,-29.1276,26.1912,,,,,,,who_mfl
Winburg Clinic,clinic,Public,FS,"Winburg,Free State",Boibotong Location Makeleketi Winburg Welkom,-28.5299,26.9941,32,,,,NONE,79,ndoh_detailed
Winnie Mandela (Botshabelo) Clinic,clinic,Public,FS,,2295 J Section Botshabelo Botshabelo,-29.2183,26.7033,,,,,None,79,ndoh_detailed
Winnie Mandela (Rouxville) Clinic,clinic,Public,FS,,57 PUSHODI ROAD ROUXVILLE,-30.4077,26.83088,,,,,MCKAYFM@FSHEALTH.GOV.ZA,62,ndoh_detailed
Zamani Clinic,clinic,Public,FS,,zamani no 707 zamani,-27.66872,29.56125,,,,,None,75,ndoh_detailed
Mediclinic Hoogland Day Clinic,day_clinic,Mediclinic,FS,Bethlehem,"Hospital St, Bethlehem, 9700",-28.23,28.306,,,mediswitch,,,,curated
Clarens Medical Center,gp_practice,,FS,,Main Street,-28.5135169,28.4225581,,,,+27760231209,,,osm
Dr GF Blaauw,gp_practice,,FS,Wolmaransstad,Joubert Street,-27.2111573,25.9802195,,,,+27185962990,,,osm
Dr J C Karstens,gp_practice,,FS,Wolmaransstad,Van Der Horst Street,-27.1926398,25.9667119,,,,+27514923997;+27833065363,,,osm
Dr Pieters & Partners,gp_practice,,FS,,,-27.9120735,25.1707389,,,,,,,osm
Dr. C.M. Alberts,gp_practice,,FS,Wolmaransstad,Kruger Street,-27.1957999,25.9767734,,,,+27185961063,,,osm
Albert Nzula Dist Hospital,hospital,Public,FS,,"22 Louw Street, Trompsburg, 9913",-30.0348,25.789656,400,,,,,,dsfsi_v1
Bloemcare Psych Hospital,hospital,Public,FS,Bloemfontein,11 AG Visser Street,-29.0864,26.156533,600,,,,,,dsfsi_v1
Bloemfontein Eye Centre,hospital,NHN,FS,Bloemfontein,17 Addison Street,-29.1346,26.194441,600,,,,,,dsfsi_v1
Bongani Hospital,hospital,Public,FS,"Thabong, Free State",Welkom Thabong,-27.9531,26.7862,420,,,+27 57 916 8000,,,dsfsi_v1
Botshabelo Hospital,hospital,Public,FS,Bloemfontein,Old Police Station Road,-29.2325,26.71572,135,,,+27 51 533 0111,,,dsfsi_v1
Busamed BFIA Hospital,hospital,Busamed,FS,Bloemfontein,,-29.107567,26.298027,600,,,,,,dsfsi_v1
Busamed Bram Fischer Hospital,hospital,Busamed,FS,Bloemfontein,"Cnr Bram Fischer & Kellner St, Bloemfontein, 9301",-29.105,26.184,130,,mediswitch,,,,curated
Busamed Harrismith Private Hospital,hospital,Busamed,FS,"Harrismith,Kzn",Cnr Vowe & Alexandra Street,-28.2618,29.115483,,,,,,,dsfsi_v1
Cairnhall Hospital,hospital,Public,FS,Bloemfontein,Cnr Longerman and Torquoise Streets,-29.118,26.184516,600,,,+27 51 506 3500,,,dsfsi_v1
Citymed Day Hospital,hospital,,FS,Bloemfontein,,-29.0868,26.212372,20,,,,,,dsfsi_v1
Clinic,hospital,,FS,,,-28.484291,28.8265021,,,,,,,osm
Diamond (Diamant) Hospital,hospital,Public,FS,Jagersfontein,"Weil Street, Jagersfontein",-29.7603,25.42315,28,,,,,,dsfsi_v1
Dr JS Moroka Hospital,hospital,Public,FS,Bloemfontein,"Station Road, Thaba N`chu",-29.2045,26.83468,137,,,,,,dsfsi_v1
Drs Herbst and Mostert Incorporated,hospital,,FS,Thaba nchu,James Scott Street,-29.2159047,26.8448524,,,,+27 51 875 1041,,,osm
Elizabeth Ross Hospital,hospital,Public,FS,"Makong Village, Phuthaditjhaba,","Motebang Road, Makong Village",-28.589,28.81755,110,,,+27 58 718 4000,,,dsfsi_v1
Embekweni Hospital,hospital,Public,FS,,"Reichemberg, Zastron",-30.2921,27.07542,23,,,,,,dsfsi_v1
Fezi Ngumbentombi Hospital,hospital,Public,FS,,8 Langenhoven Street,-26.8014,27.82757,400,,,,,,dsfsi_v1
Free State Psyc Comp Hospital,hospital,Public,FS,Bloemfontein,"35 Nico Van Der Merwe Ave, Oranjesig, 9301",-29.1338,26.209264,877,,,,,,dsfsi_v1
Harmony Goldmine Hospital,hospital,NHN,FS,Welkom,1 Power Road,-27.966619,26.774599,150,,,,,,dsfsi_v1
Hartswater Connie Vorster Hospital,hospital,Public,FS,Hartswater,Hospital Road,-27.7576,24.8133,,,,,,,who_mfl
Katleho Hospital,hospital,Public,FS,,"17 Commando Street, Virginia",-28.1105,26.85798,78,,,,,,dsfsi_v1
Kopano MDR Hospital,hospital,Public,FS,,312 Long Road,-27.9811,26.709676,600,,,,,,dsfsi_v1
Ladysmith Sub-Acute Hospital,hospital,Public,FS,,,-28.556988,29.768233,600,,,,,,dsfsi_public
Life Pasteur Hospital,hospital,Life Healthcare,FS,Bloemfontein,"7 Reid St, Westdene, Bloemfontein, 9301",-29.113,26.205,120,,mediswitch,,,,curated
Life Rosepark Hospital,hospital,Public,FS,Bloemfontein,57 Gustav Crescent,-29.1538,26.176303,235,,,,,,dsfsi_v1
Link - Hillcrest Private Hospital,hospital,,FS,Bloemfontein,,-29.789272,30.742441,,,,,,,dsfsi_v1
Mafube Hospital,hospital,Public,FS,Frankfort,"40 Church Street, Frankfort",-27.2788,28.50023,74,,,+27 58 813 1040,,,dsfsi_v1
Mantsopa Hospital,hospital,Public,FS,Ladybrand,Beeton Street,-29.2029525,27.447976,100,,,,,,dsfsi_v1
Medicare Healthcare Group,hospital,,FS,,,-29.1039564,26.1875506,,,,,,,osm
Mediclinic Bloemfontein,hospital,Mediclinic,FS,Bloemfontein,"Cnr Kellner & Parfitt Ave, Westdene, Bloemfontein, 9301",-29.114,26.201,172,,mediswitch,,,,curated
Mediclinic Hoogland Hospital,hospital,Mediclinic,FS,Bethlehem,De Leeuw Street,-28.229,28.322255,107,,,,,,dsfsi_v1
Mediclinic Welkom,hospital,Mediclinic,FS,Welkom,"Heeren St, Welkom, 9459",-27.982,26.745,68,,mediswitch,,,,curated
Metsimaholo Parys Hospital,hospital,Public,FS,,,-26.705952,27.819911,82,,,,,,dsfsi_v1
Mofumahadi Manapo Mopeli Hospital,hospital,Public,FS,Phuthaditjhaba,"Motebang Street, Phithe, Dijhabeng",-28.537,28.80507,270,,,,,,dsfsi_v1
NHN CareCure Victoria Hospital,hospital,NHN,FS,Bloemfontein,46 Victoria Road,-29.1223,26.205302,600,,,,,,dsfsi_v1
NHN EmoyaMed Private Hospital,hospital,NHN,FS,Bloemfontein,"7 Frans Kleynhans Rd, Groenvlei, Emoya Estate, Bloemfontein",-29.0633,26.170889,600,,,,,,dsfsi_v1
NHN Hillandale HCC Hospital,hospital,NHN,FS,Bloemfontein,6 Woodland Hills Boulevard,-29.0499,26.178331,600,,,,,,dsfsi_v1
NHN M-Care Pentagon Park Hospital,hospital,NHN,FS,Bloemfontein,29 General Beyers Street,-29.0774,26.215478,600,,,,,,dsfsi_v1
NHN Riemland Clinic Hospital,hospital,NHN,FS,,Frankfort Street,-27.2798,28.495123,10,,,,,,dsfsi_v1
NHN St Helena Hospital,hospital,NHN,FS,,Hamlet Road Extension,-28.0019,26.710868,131,,,,,,dsfsi_v1
NHN Stirling Hospital,hospital,NHN,FS,Bloemfontein,"Remainder Plot 3B, Stirling Small Holdings, Stirling Road, Spitskop, Bloemfontein",-29.0828,26.161423,600,,,,,,dsfsi_v1
NHN Welkom Med Centre,hospital,NHN,FS,,5 Lategan Road,-27.9874,26.727098,600,,,,,,dsfsi_v1
National District Hospital (Bloemfontein),hospital,Public,FS,Bloemfontein,"Harvey Rd, Willows, Bloemfontein, 9301",-29.111,26.221,208,,,,,,curated
Netcare Kroon Hospital,hospital,Netcare,FS,Kroonstaad,Noordweg,-27.6537,27.230333,80,,,,,,dsfsi_v1
Netcare Rosepark Hospital,hospital,Netcare,FS,Bloemfontein,"2 Gustav Cres, Heidedal, Bloemfontein, 9306",-29.141,26.204,120,,mediswitch,,,,curated
Netcare Universitas Hospital,hospital,Netcare,FS,Bloemfontein,"1 Logeman St, Universitas, Bloemfontein, 9301",-29.119,26.195,186,,mediswitch,,,,curated
Netcare Vaalpark Hospital,hospital,Netcare,FS,Sasolburg,"Cnr Klasie Havenga & Fritz du Preez Dr, Vaalpark, 1947",-26.805,27.857,60,,mediswitch,+27 16 971 9000,,,curated
Northern Cape Mental Healthcare Hospital,hospital,Public,FS,,,-28.7717633,24.7219903,287,,,,,,osm
"Nurture Woodlands Psychiatric (-29.045364, 26.183793)",hospital,Public,FS,,,,,,,,,,,dsfsi_v1
Phekolong Hospital,hospital,Public,FS,,Riemland Road,-28.2176,28.32645,85,,,,,,dsfsi_v1
Phuthuloha Hospital,hospital,Public,FS,,"Kestell Street, Ficksburg",-28.8813,27.87202,55,,,,,,dsfsi_v1
SAMHS 3 Mil Hospital,hospital,Public,FS,Bloemfontein,"Furstenburg Road, Tempe, Bloemfontein",-29.0944,26.193444,600,,,,,,dsfsi_v1
Sasol Infrachem Hospital,hospital,Public,FS,,"Bergius Street, Sasolburg",-26.826,27.849385,11,,,,,,dsfsi_v1
St Helena Private Hospital,hospital,,FS,Matjhabeng Local Municipality,Hamlet Road,-28.0119934,26.7113444,,,,,,,osm
Stoffel Coetzee Hospital,hospital,Public,FS,Smithfield,Cnr Brand & Voortrekker Street,-30.2177,26.52442,23,,,+27 51 683 0168,,,dsfsi_v1
Tayler Bequest Hospital,hospital,Public,FS,"Mount Fletcher, Eastern Cape","Main Street, 4470",-30.3480709,28.8216801,,,,,,,osm
Thebe Hospital,hospital,Public,FS,Harrismith,Mauritz Street,-28.2722,29.13805,71,,,,,,dsfsi_v1
Thusanong Hospital,hospital,Public,FS,Hospitaalpark,Hospital Street,-27.8773,26.65922,86,,,,,,dsfsi_v1
Tokollo Hospital,hospital,Public,FS,"Heilbron, Free State",Myron Street,-27.2891,27.96168,78,,,+27 58 852 5400,,,dsfsi_v1
Tswelelang Community Health Clinic,hospital,Public,FS,woolmaranstaad,1365 Main Road,-27.2342051,25.9771065,,,,+27185951014,,,osm
West End Spec Psych Hospital,hospital,Public,FS,"West End, Kimberley",Green Street,-28.7376,24.72386,600,,,+27 53 861 3911,,,dsfsi_public
Betesda Gesondheidhuis,other,,FS,Orania,Saffierstraat,-29.8134776,24.4093618,,,,,,,osm
Christo Müller Pastorale Sielkundige,other,,FS,Orania,Soetdoringlaan,-29.8165533,24.4159311,,,,+27 83 628 0272,,,osm
Oncology Centre,other,,FS,,Nelson Mandela Drive,-29.1127356,26.2127961,,,,,,,osm
fs Arlington EMS Station,other,,FS,,,-28.0289,27.851239,,,,,,,dsfsi_ems
fs Bloemfontein EMS Station,other,,FS,Bloemfontein,,-29.1276,26.21411,,,,,,,dsfsi_ems
fs Boshof Private EMS Station,other,,FS,,,-28.5387,25.239329,,,,,,,dsfsi_ems
fs Brandfort Private EMS Station,other,,FS,,,-28.7012,26.45886,,,,,,,dsfsi_ems
fs Bultfontein EMS Station,other,,FS,,,-28.28,26.14,,,,,,,dsfsi_ems
fs Clarens EMS Station,other,,FS,,,-28.51,28.42,,,,,,,dsfsi_ems
fs Clocolan Private EMS Station,other,,FS,,,-28.9158,27.565459,,,,,,,dsfsi_ems
fs Dealsville Private EMS Station,other,,FS,,,-28.6755,25.767533,,,,,,,dsfsi_ems
fs Dewetsdorp EMS Station,other,,FS,Bloemfontein,,-29.57,26.66,,,,,,,dsfsi_ems
fs Dewetsdorp Private EMS Station,other,,FS,Bloemfontein,,-28.583,26.660455,,,,,,,dsfsi_ems
fs Edenburg Private EMS Station,other,,FS,,,-29.7355,25.934608,,,,,,,dsfsi_ems
fs Fauresmith Private EMS Station,other,,FS,,,-29.7471,25.312555,,,,,,,dsfsi_ems
fs Ficksburg Private EMS Station,other,,FS,,,-28.8705,27.873979,,,,,,,dsfsi_ems
fs Fouriesburg EMS Station,other,,FS,,,-28.62,28.211,,,,,,,dsfsi_ems
fs Heilbron Private EMS Station,other,,FS,,,-27.283,27.965945,,,,,,,dsfsi_ems
fs Hennenman Private EMS Station,other,,FS,,,-27.9788,27.027699,,,,,,,dsfsi_ems
fs Hertzogville EMS Station,other,,FS,,,-28.12,25.5,,,,,,,dsfsi_ems
fs Hoopstad Private EMS Station,other,,FS,,,-27.8367,25.905371,,,,,,,dsfsi_ems
fs Jacobsdal Private EMS Station,other,,FS,,,-29.1412,24.774448,,,,,,,dsfsi_ems
fs Koffiefontein EMS Station,other,,FS,,,-29.4,25.01,,,,,,,dsfsi_ems
fs Koppies Private EMS Station,other,,FS,,,-27.2443,27.574838,,,,,,,dsfsi_ems
fs Ladybrand Private EMS Station,other,,FS,,,-29.196,27.45673,,,,,,,dsfsi_ems
fs Lindley EMS Station,other,,FS,,,-27.881,27.904,,,,,,,dsfsi_ems
fs Lindley Private EMS Station,other,,FS,,,-27.8833,27.921674,,,,,,,dsfsi_ems
fs Marquard EMS Station,other,,FS,,,-28.6547,27.45455,,,,,,,dsfsi_ems
fs Memel EMS Station,other,,FS,,,-27.68,29.56,,,,,,,dsfsi_ems
fs Odendaalsrus Private EMS Station,other,,FS,,,-27.8701,26.682641,,,,,,,dsfsi_ems
fs Parys Private EMS Station,other,,FS,,,-26.8926,27.471363,,,,,,,dsfsi_ems
fs Petrus Steyn EMS Station,other,,FS,,,-27.65,28.128,,,,,,,dsfsi_ems
fs Petrusburg Private EMS Station,other,,FS,,,-29.1127,25.413062,,,,,,,dsfsi_ems
fs Philippolis EMS Station,other,,FS,,,-30.26,25.27,,,,,,,dsfsi_ems
fs Qwa-Qwa Private EMS Station,other,,FS,,,-28.5132,28.825363,,,,,,,dsfsi_ems
fs Reddersburg EMS Station,other,,FS,,,-29.65,26.17,,,,,,,dsfsi_ems
fs Reitz Private EMS Station,other,,FS,,,-27.7993,28.431609,,,,,,,dsfsi_ems
fs Rosendal EMS Station,other,,FS,,,-28.5014,27.935441,,,,,,,dsfsi_ems
fs Rouxville EMS Station,other,,FS,,,-30.415,26.835,,,,,,,dsfsi_ems
fs Sasolburg Private EMS Station,other,,FS,,Trompsburg,-26.8115,27.823888,,,,,,,dsfsi_ems
fs Senekal Private EMS Station,other,,FS,,,-28.3211,27.6225,,,,,,,dsfsi_ems
fs Smithfield EMS Station,other,,FS,,,-30.2234,26.52333,,,,,,,dsfsi_ems
fs Smithfield Private EMS Station,other,,FS,,,-30.2089,26.530819,,,,,,,dsfsi_ems
fs Soutpan Private EMS Station,other,,FS,Bloemfontein,,-28.7208,26.058979,,,,,,,dsfsi_ems
fs Springfontein EMS Station,other,,FS,,,-30.25,25.7,,,,,,,dsfsi_ems
fs Springfontein Private EMS Station,other,,FS,,,-30.266,25.703989,,,,,,,dsfsi_ems
fs Steynsrus EMS Station,other,,FS,,,-27.656,27.234,,,,,,,dsfsi_ems
fs Steynsrus Private EMS Station,other,,FS,,,-27.9516,27.564867,,,,,,,dsfsi_ems
fs Thaba Nchu Private EMS Station,other,,FS,Bloemfontein,,-29.215,26.848,,,,,,,dsfsi_ems
fs Theunissen EMS Station,other,,FS,,,-28.398,26.71,,,,,,,dsfsi_ems
fs Theunissen Private EMS Station,other,,FS,,,-28.3741,26.712241,,,,,,,dsfsi_ems
fs Trompsburg EMS Station,other,,FS,,,-30.03,25.78,,,,,,,dsfsi_ems
fs Ventersburg Private EMS Station,other,,FS,,,-28.0861,27.136176,,,,,,,dsfsi_ems
fs Verkeerdevlei Private EMS Station,other,,FS,,,-28.8322,26.778909,,,,,,,dsfsi_ems
fs Viljoenskroon Private EMS Station,other,,FS,,,-27.207,26.946406,,,,,,,dsfsi_ems
fs Virginia Private EMS Station,other,,FS,,,-28.09,26.864,,,,,,,dsfsi_ems
fs Vrede Private EMS Station,other,,FS,,,-27.4229,29.168715,,,,,,,dsfsi_ems
fs Warden EMS Station,other,,FS,,,-27.8433,28.98208,,,,,,,dsfsi_ems
fs Warden Private EMS Station,other,,FS,,,-27.8538,28.9606,,,,,,,dsfsi_ems
fs Welkom EMS Station,other,,FS,,,-27.98,26.73,,,,,,,dsfsi_ems
fs Wepener EMS Station,other,,FS,Bloemfontein,,-29.728,27.038,,,,,,,dsfsi_ems
fs Wesselsbron Private EMS Station,other,,FS,,,-27.8577,26.363578,,,,,,,dsfsi_ems
fs Winburg Private EMS Station,other,,FS,,,-28.5208,27.009378,,,,,,,dsfsi_ems
fs Zastron Private EMS Station,other,,FS,,,-30.3042,27.081635,,,,,,,dsfsi_ems
Arrarat Pharmacy,pharmacy,,FS,,Constantia Street,-27.9512459,26.7356744,,,,,,,osm
Checmed Pharmacy,pharmacy,,FS,,,-29.1104099,26.1992933,,,,,,,osm
Dis-Chem Loch Logan,pharmacy,Independent,FS,Bloemfontein,"Shop F2, Loch Logan Water Front, 105-107 Henry Street, Westdene, Bloemfontein, 9301. F.S.",-29.1155779,26.2105732,,,,,,,osm
Discom,pharmacy,,FS,Bloemfontein,,-29.1160517,26.2213393,,,,,,,osm
Elizabeth Street Pharmacy,pharmacy,,FS,Matjhabeng Local Municipality,Arrarat Road,-27.9793565,26.7421496,,,,,,,osm
Frank Korb Pharmacy,pharmacy,,FS,,,-27.9360129,26.8051639,,,,,,,osm
Generaal De Wet Pharmacy,pharmacy,,FS,,Barry Richter Road,-29.1533027,26.1943567,,,,,,,osm
Jan Cilliers Park Pharmacy,pharmacy,,FS,,,-27.9933525,26.7472511,,,,,,,osm
Kgubetswana Khemisi,pharmacy,,FS,,Malherbe Street,-28.5278061,28.4243354,,,,,,,osm
Klinicare Heuwelsig,pharmacy,,FS,Heuwelsig,Ogilvie Thompson Street,-29.075768,26.1970442,,,,+27514360704,,,osm
Pellissier Wellness Centre,pharmacy,,FS,Pellissier,Aandwind Street,-29.1476233,26.1657725,,,,,,,osm
Pharmacy Syd Goldstein,pharmacy,,FS,,,-27.6626532,27.2329761,,,,,,,osm
Roscher Apteek,pharmacy,,FS,,Blignaut Street,-27.6711668,27.2344235,,,,,,,osm
TLC - Gardenia,pharmacy,,FS,,,-29.1311448,26.1779418,,,,,,,osm
TLC - Meditas,pharmacy,,FS,,,-29.1208676,26.1903419,,,,,,,osm
The Local Choice Pharmacy,pharmacy,Public,FS,Vryburg,"17, De Kock Street, 8601",-29.0972272,26.1441152,,,,+27514925659,,,osm
Wollies Pharmacy,pharmacy,,FS,Wolmaransstad,Bornman Street,-27.2015863,25.9842549,,,,+27185962106,,,osm
Annamarie van der Merwe Fisioterapeute,specialist,,FS,Orania,Olienhoutrylaan,-29.8190187,24.414048,,,,+27 82 440 6637,,,osm
Bertus Winter,specialist,,FS,Wolmaransstad,Leask Street,-27.197438861561,25.9839350843,,,,,,,healthsites
Alexandra CHC,chc,Public,GP,Johannesburg,33 Arkwright AvenueWynberg Bergvlei,-26.1164,28.08844,,,,,labanem@alexclinic.org.za,59,ndoh_detailed
Alexandra Community Health Centre,chc,Public,GP,Johannesburg,"1 Pan Africa Rd, Alexandra, 2090",-26.102,28.101,,,,,,,curated
Bekkersdal West CHC,chc,Public,GP,,3540 Khomo & Hlaba street Bekkersdal,-26.28636,27.697473,,,,,lalakhal@gmail.com,84,ndoh_detailed
Boipatong CHC,chc,Public,GP,,1990 Lekoa Street Boipatong Boipatong,-26.6722,27.8479,,,,,None,82,ndoh_detailed
Boitekong CHC,chc,Public,GP,,"Stand 15975, Extension 13",-25.3591,27.1714,,,,,,,who_mfl
Chiawelo CHC,chc,Public,GP,Johannesburg,1753 Rihlaphy Chiawelo,-26.2793,27.8654,,,,,None,60,ndoh_detailed
Dark City CHC,chc,Public,GP,Pretoria,"452 Section A, Dark City",-25.67501,28.72655,,,,,selinahlk@gmail.com,83,ndoh_detailed
Discoverers CHC,chc,Public,GP,Johannesburg,37 Clarendon drive Florida,-26.1667,27.8944,,,,,NONE,65,ndoh_detailed
Eersterust CHC,chc,Public,GP,Pretoria,c/o Hans Coverdale East and P.S Fourie EersterustP,-25.70694,28.30944,,,,,NONE,84,ndoh_detailed
Esangweni CHC,chc,Public,GP,Ekurhuleni,219 Mpilo Street Tembisa,-26.0221,28.2011,,,,,Sbonuseni@ekurhuleni.gov.za,89,ndoh_detailed
Hillbrow CHC,chc,Public,GP,Johannesburg,Klein and Smit Street Braamfontein,-26.193,28.0458,600,,,+27 117252222,mary.kekana@gauteng.gov.za,67,ndoh_detailed
Hillbrow Community Health Centre,chc,Public,GP,Johannesburg,"Cnr Esselen & Clarendon Rd, Hillbrow, 2001",-26.19,28.047,,,,+27 11 725 6721,None,,curated
Itireleng CHC,chc,Public,GP,Johannesburg,5/6 Elias Motsoaledi RdDobsonville Rooderoort,-26.2179,27.8714,,,,+27 11 989 0304,NONE,64,ndoh_detailed
Jabulane Dumane CHC,chc,Public,GP,Ekurhuleni,257 Nguze Street Ext 2 Vosloorus,-26.36851,28.213511,,,,,Nonthandazor@ekurhuleni.gov.za,91,ndoh_detailed
Johan Heyns CHC,chc,Public,GP,Vanderbijlpark,Coner of Frikkie Meyer and Pasteur BLVD Vanderbijl,-26.7031,27.8341,32,,,+27 16 950 6015,None,90,ndoh_detailed
Kgabo CHC,chc,Public,GP,Pretoria,KGABO STAND MABOPANE,-25.47034,28.05896,,,,,NONE,83,ndoh_detailed
Khutsong CHC,chc,Public,GP,,5961 Morake street Khutsong,-26.328607,27.328238,,,,,ljijana@yahoo.com,83,ndoh_detailed
